frequency_ev,intensity
19.34098062,1
38.68196124,0.970529104
58.02294186,0.02528997062
77.36392247,0.01406864535
96.70490309,0.001439971715
116.0458837,0.0005134640761
135.3868643,0.0003101756966
154.7278449,2.679047377e-05
174.0688256,6.149821937e-05
193.4098062,1.100010445e-05
212.7507868,1.677247615e-05
232.0917674,9.841596623e-06
251.432748,6.166320491e-06
270.7737287,5.539127137e-06
290.1147093,3.606143751e-06
309.4556899,3.063968649e-06
328.7966705,2.21257639e-06
348.1376511,1.91545229e-06
367.4786318,1.43643503e-06
386.8196124,1.644971277e-06
406.160593,5.789645074e-07
425.5015736,9.761972704e-07
444.8425542,7.816997081e-07
464.1835348,4.757285045e-07
483.5245155,5.377234619e-07
