frequency_ev,intensity
17.09059063,1
34.18118126,0.6493695903
51.27177189,0.03566597011
68.36236252,0.003569424688
85.45295315,0.001436647817
102.5435438,4.942555364e-05
119.6341344,0.0003161545423
136.724725,3.101551952e-06
153.8153157,6.045179679e-05
170.9059063,3.492879226e-06
187.9964969,6.372965447e-06
205.0870876,2.633404766e-05
222.1776782,0.0007178960049
239.2682688,0.0005392592297
256.3588595,8.342655281e-05
273.4494501,0.0002213431388
290.5400407,0.0002803040866
307.6306313,0.0002775477437
324.721222,0.0001028027952
341.8118126,7.11458914e-05
358.9024032,0.0001553427113
375.9929939,0.0001800924366
393.0835845,0.0001632070081
410.1741751,0.0001005406358
427.2647658,7.120325126e-05
444.3553564,5.29784497e-05
461.445947,2.081151075e-05
478.5365377,4.375248218e-06
495.6271283,1.039486492e-05
